League,Week,Date,Time,Team,HA,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
NBA,250422,04/28/25,12:0:0,CLE,HA,MIA,GAME,UNDER,210
NBA,250422,04/28/25,13:00:00, CLE MOBLEY,HA,POINTS,PROP,UNDER,16.5
NBA,250422,04/28/25,13:00:00, CLE HUNTER,HA,POINTS,PROP,UNDER,12.5
NBA,250422,04/28/25,12:0:0,HOU,HA,GS,GAME,SPREAD,+3.5
NBA,250422,04/28/25,13:00:00, GS CURRY,HA,POINTS,PROP,UNDER,26.5
ISA,250422,04/28/25,12:0:0,UDINESE,HA,BOLOGNA,GAME,SPREAD,+0.5
ISA,250422,04/28/25,12:0:0,PARMA,HA,-155 LAZIO,GAME,SPREAD,+1.5
ISA,250422,04/28/25,12:0:0,VERONA,HA,-150 CAGLIARI,GAME,SPREAD,0
