League,Week,Date,Time,Team,HA,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
CBB,250325,03/27/25,12:0:0,5% TEXAS_TECH,HA,ARKANSAS,GAME,SPREAD,-5.5
CBB,250325,03/27/25,12:0:0,DUKE,HA,ARIZONA,GAME,SPREAD,-8.5
CBB,250325,03/27/25,12:0:0,BYU,HA,ALABAMA,GAME,SPREAD,+5.5
CBB,250325,03/27/25,12:0:0,MARYLAND,HA,FLORIDA,GAME,SPREAD,+6.5
CBB,250325,03/27/25,12:0:0,1% MARYLAND,HA,FLORIDA,GAME,MONEY,+235
CBB,250325,03/27/25,12:0:0,$L PARLAY,HA,DUKE & TEXAS,GAME,SPREAD,-125
CBB,250325,03/28/25,12:0:0,PURDUE,HA,HOUSTON,GAME,SPREAD,+8.5
CBB,250325,03/28/25,12:0:0,MICHST,HA,OLE MISS,GAME,SPREAD,-2.5
CBB,250325,03/28/25,12:0:0,KENTUCKY,HA,TENNESSEE,GAME,SPREAD,+4.5
CBB,250325,03/28/25,12:0:0,AUBURN,HA,MICHIGAN,GAME,SPREAD,-7.5
