League,Week,Date,Time,Team,HA,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
MLB,250603,06/04/25,12:0:0,PIT,HA,ASTROS,GAME,MONEY,+110
MLB,250603,06/04/25,12:0:0,TOR,HA,PHILLIES,GAME,MONEY,-102
MLB,250603,06/05/25,12:0:0,ARI,HA,BRAVES,GAME,MONEY,+120
MLB,250603,06/05/25,12:0:0,TOR,HA,PHILLIES,GAME,MONEY,+105
MLB,250603,06/05/25,12:0:0,PIT,HA,-115 ASTROS,1ST5,SPREAD,+0.5
MLB,250603,06/05/25,12:0:0,CLE,HA,-130 YANKEES,1ST5,SPREAD,+1.5
NBA,250603,06/05/25,12:0:0,OKC,HA,PACERS,GAME,SPREAD,-9
NBA,250603,06/05/25,12:0:0,IND,HA,,GAME,TM_UNDER,110.5
MLB,250603,06/06/25,12:0:0,5 PIT,HA,-115 PHILLIES,HALF_1,SPREAD,+0.5
MLB,250603,06/06/25,12:0:0,5 BOS,HA,-115 YANKEES,HALF_1,SPREAD,+0.5
MLB,250603,06/06/25,12:0:0,STL,HA,DODGERS,GAME,MONEY,+110
MLB,250603,06/07/25,12:0:0,PIT,HA,-110 PHILLIES,1ST5,SPREAD,+0.5
MLB,250603,06/07/25,12:0:0,CIN,HA,DIAMONDBACKS,GAME,MONEY,-102
MLB,250603,06/07/25,12:0:0,CLE,HA,ASTROS,GAME,MONEY,+112
MLB,250603,06/07/25,12:0:0,BOS,HA,YANKEES,GAME,MONEY,-108
EFA,250603,06/07/25,12:0:0,FINLAND,HA,+100 NETHERLANDS,GAME,SPREAD,+1.5
MLS,250603,06/07/25,12:0:0,DC,HA,+105 FIRE,GAME,SPREAD,0
MLB,250603,06/08/25,12:0:0,CIN,HA,-125 ARIZONA,1ST5,SPREAD,+0.5
MLB,250603,06/08/25,12:0:0,STL,HA,-130 DODGERS,1ST5,SPREAD,+0.5
MLB,250603,06/08/25,12:0:0,PIT,HA,PHILLIES,GAME,MONEY,-115
NBA,250603,06/08/25,12:0:0,OKC,HA,PACERS,GAME,SPREAD,-11
NBA,250603,06/08/25,13:00:00, OKC WILLIAMS POINTS,HA,,PROP,OVER,21.5
NBA,250603,06/08/25,13:00:00, OKC HOLMGREN POINTS,HA,,PROP,OVER,14.5
NBA,250603,06/08/25,13:00:00, IND NESMITH POINTS,HA,,PROP,UNDER,11.5
NBA,250603,06/08/25,13:00:00, IND TOPPIN POINTS,HA,,PROP,UNDER,10.5
NBA,250603,06/08/25,13:00:00, OKC HARTENSTEIN REBOUNDS,HA,,PROP,OVER,7.5
FCC,250603,06/08/25,12:0:0,GERMANY,HA,FRANCE,GAME,MONEY,+145
FCC,250603,06/08/25,12:0:0,PORTUGAL,HA,SPAIN,GAME,SPREAD,+0.5
MLS,250603,06/08/25,12:0:0,STL,HA,-150 PORTLAND,GAME,SPREAD,+1
MLS,250603,06/08/25,12:0:0,SKC,HA,-140 LAFC,GAME,SPREAD,+1.5
MLS,250603,06/08/25,12:0:0,VAN,HA,-115 SEATTLE,GAME,SPREAD,+0.5
