League,Week,Date,Time,Team,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
CFB,1,8/31/2023,12,NEBRASKA,MINNESOTA,GAME,SPREAD,+7.5,0,0,0,,down to 7)
CFB,1,8/31/2023,12,FLORIDA,UTAH,GAME,SPREAD,+7,0,0,0,,down to 6)
CFB,1,9/1/2023,12,MIAMI FLORIDA,MIAOH,GAME,SPREAD,-17.5,0,0,0,,up to 20)
CFB,1,9/1/2023,12,GA TECH,LOUISVILLE,GAME,SPREAD,+8,0,0,0,,down to 6)
CFB,1,9/1/2023,12,GATECH,LOUISVILLE,GAME,MONEY,+245,0,0,0,,LS down to +200)
CFB,1,9/2/2023,12,EAST CAROLINA,MICHIGAN,GAME,SPREAD,+36,0,0,0,,down to 35)
CFB,1,9/2/2023,12,VIRGINIA,TENNESSEE,GAME,SPREAD,+28,0,0,0,,down to 27)
CFB,1,9/2/2023,12,INDIANA,OHIO STATE,GAME,SPREAD,+30,0,0,0,,down to 28)
CFB,1,9/2/2023,12,TEXAS A&M,NEW MEXICO,GAME,SPREAD,-38,0,0,0,,up to 40)
CFB,1,9/2/2023,12,WEST VIRGINIA,PENN ST,GAME,SPREAD,+21,0,0,0,,down to 20)
CFB,1,9/2/2023,12,WYOMING,TEXAS TECH,GAME,SPREAD,+14,0,0,0,,down to 13)
CFB,1,9/2/2023,12,WYOMING,TEXAS TECH,GAME,MONEY,+440,0,0,0,,LS down to +300)
CFB,1,9/2/2023,12,SOUTH ALAMA,TULANE,GAME,SPREAD,+6.5,0,0,0,,down to 6)
CFB,1,9/2/2023,12,TOLEDO,ILLINOIS,GAME,SPREAD,+9,0,0,0,,down to 8)
CFB,1,9/2/2023,12,TOLEDO,ILLINOIS,GAME,MONEY,+295,0,0,0,,LS down to +250)
CFB,1,9/2/2023,12,ULM,ARMY,GAME,SPREAD,+10,0,0,0,,down to 8)
CFB,1,9/2/2023,12,ULM,ARMY,GAME,MONEY,+310,0,0,0,,LS down to +250)
CFB,1,9/3/2023,12,SAN JOSE,+17 OREG ST.,GAME,SPREAD,ST.,0,0,0,,down to 16)
