CFB,15,12/16,12,LOUISIANA,,JAXST,GAME,SPREAD,+3.5,0,0,0
CFB,15,12/16,12,APPST,,MIAOH,GAME,SPREAD,-6,0,0,0
CFB,15,12/16,12,FRESNO,,NEWMEXST,GAME,SPREAD,+4,0,0,0
CFB,15,12/16,12,CAL,,TEXTECH,GAME,SPREAD,+3,0,0,0
CFB,15,12/16,12,UCLA,,BOISE,GAME,SPREAD,-4,0,0,0
CFB,15,12/19,19,MARSHALL,,UTSA,GAME,SPREAD,+13,0,0,0
CFB,15,12/23,12,DUKE,,TROY,GAME,SPREAD,+8,0,0,0
CFB,15,12/23,12,NIL,,ARKST,GAME,SPREAD,+0,0,0,0
CFB,15,12/23,12,AIR FORCE,,JMU,GAME,SPREAD,+2.5,0,0,0
CFB,15,12/23,12,NORTHWESTERN,,UTAH,GAME,SPREAD,+7,0,0,0
CFB,15,12/26,19,UNLV,,KANSAS,GAME,SPREAD,+12.5,0,0,0
CFB,15,12/27,19,UNC,,WVA,GAME,SPREAD,+5.5,0,0,0
CFB,15,12/27,19,USC,,LOUISVILLE,GAME,SPREAD,+8,0,0,0
CFB,15,12/27,19,TEXAS A&M,,OKST,GAME,SPREAD,-3,0,0,0
CFB,15,12/28,19,BOSTON COLLEGE,,SMU,GAME,SPREAD,+11,0,0,0
CFB,15,12/28,19,OKLAHOMA,,ARIZONA,GAME,SPREAD,+3,0,0,0
CFB,15,12/28,19,Teaser: BC,,& OU +10,GAME,SPREAD,+18,0,0,0
CFB,15,12/30,13,WYOMING,,TOLEDO,GAME,SPREAD,-3,0,0,0
CFB,15,1/1,12,WISCONSIN,,LSU,GAME,SPREAD,+12,0,0,0
CFB,15,1/1,12,LIBERTY,,OREGON,GAME,SPREAD,+18.5,0,0,0
